ACCEPT_SESSION_ARBC,ACK_TAKEOVER_HRBC,APPLY_SUPERVISION_EVC,COORDINATE_MA_HRBC,DISPLAY_UPDATE_DMI,EMERGENCY_BRAKE_EVC,EVALUATE_FRONT_EVC,EVALUATE_REAR_EVC,EVALUATE_SESSION_REQ_ARBC,FORWARD_ANNOUNCEMENT_TO_ARBC_HRBC,PROCESS_COORDINATION_ARBC,PROCESS_MA_EVC,REJECT_SESSION_ARBC,REQ_SESSION_ARBC_RTM,RX_ARBC_GRANT_SUPERVISION_RTM,RX_HRBC_TERMINATION_ORDER_RTM,RX_HRBC_TRANSITION_ORDER_RTM,RX_POS_REPORT_ARBC,RX_POS_REPORT_HRBC,SESSION_ESTABLISHED_ARBC_RTM,SESSION_REJECTED_ARBC_RTM,TERMINATE_SESSION_HRBC_RTM,TX_GRANT_SUPERVISION_ARBC,TX_POS_REPORT_RTM,TX_TERMINATION_ORDER_HRBC,TX_TRANSITION_ORDER_HRBC,Fitness,Component
1,1,0,0,0,0,0,0,1,0,4,0,0,0,0,1,0,2,1,0,0,1,4,0,1,0,0.5952366780079095,ARBC
1,0,0,0,1,1,0,0,1,0,2,0,1,0,0,0,0,1,0,0,1,0,2,0,0,0,0.5925903978133414,ARBC
1,0,0,0,0,0,0,0,1,0,4,0,2,0,0,1,0,3,0,0,0,1,2,0,1,0,0.6190461451282259,ARBC
0,0,0,0,1,1,0,0,1,0,4,0,1,0,0,0,0,0,0,1,1,0,3,0,0,0,0.5185165980866737,ARBC
1,1,1,0,0,0,0,1,4,0,4,0,0,0,1,1,0,1,1,0,0,1,1,1,1,0,0.5238082766469604,ARBC
1,0,0,0,0,0,0,0,1,0,2,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0.703701097403343,ARBC
1,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,4,0,0,0,0,4,0,0,0,0.7391288279808088,ARBC
1,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,5,0,0,0,0,2,0,0,0,0.755553876546941,ARBC
1,1,0,0,0,0,0,0,1,0,3,0,1,0,0,0,0,4,0,0,0,0,2,0,0,0,0.7291651475726093,ARBC
1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,4,0,0,0,0,6,0,0,0,0.7234027161644336,ARBC
1,0,0,0,0,0,0,0,1,1,3,0,0,0,0,1,0,0,0,0,0,1,1,0,1,0,0.6296272976766752,ARBC
